measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",7.098,0.0,5.936,0.132,5.609,6.264,false,1.162,0.196,1.35
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",7.59,0.0,5.978,0.409,4.962,6.994,false,1.612,0.27,2.599
"false","[DISKSYNC, SNAPSHOTSERIALIZER]",52.057,0.0,47.29,0.431,46.22,48.36,false,4.767,0.101,22.724
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",11.311,0.0,9.216,0.361,8.319,10.113,false,2.095,0.227,4.389
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",12.488,0.0,19.007,0.268,18.343,19.672,false,6.519,0.343,42.497
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",12.077,0.0,19.324,0.379,18.383,20.264,false,7.247,0.375,52.519
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",11.974,0.0,9.341,0.357,8.454,10.227,false,2.633,0.282,6.933
"false","[TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",7.023,0.0,6.264,0.452,5.142,7.386,true,0.759,0.121,0.576
"false","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",20.539,0.0,18.144,0.249,17.526,18.762,false,2.395,0.132,5.736
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD]",12.125,0.0,9.187,0.439,8.096,10.277,false,2.938,0.32,8.632
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",12.488,0.0,19.032,0.729,17.22,20.843,false,6.544,0.344,42.824
"false","[MONITOR, FILESIZETHRESHOLD, CLOCK]",22.129,0.0,18.667,0.323,17.866,19.468,false,3.462,0.185,11.985
"false","[DEEPCOPY, FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, CLOCK]",15.431,0.0,18.077,0.262,17.426,18.728,false,2.646,0.146,7.001
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, CLOCK]",57.394,0.0,54.665,0.088,54.445,54.884,false,2.729,0.05,7.447
"false","[DEEPCOPY, SNAPSHOTSERIALIZER]",15.412,0.0,18.396,0.364,17.493,19.299,false,2.984,0.162,8.904
"false","[JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",27.057,0.0,23.719,0.629,22.156,25.283,false,3.338,0.141,11.142
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",11.482,0.0,9.586,0.156,9.198,9.975,false,1.896,0.198,3.595
