measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.785,0.0,9.216,0.295,0.569,0.062,0.324
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",19.157,0.0,19.007,0.218,0.15,0.008,0.022
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",19.157,0.0,19.324,0.309,0.167,0.009,0.028
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.71,0.0,9.341,0.291,0.369,0.04,0.136
"false","[TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.059,0.0,6.264,0.369,0.205,0.033,0.042
"true","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",18.3,0.0,18.144,0.203,0.156,0.009,0.024
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.71,0.0,9.187,0.359,0.523,0.057,0.274
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",19.157,0.0,19.032,0.595,0.125,0.007,0.016
"true","[DEEPCOPY, FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, CLOCK]",18.181,0.0,18.077,0.214,0.104,0.006,0.011
"false","[MONITOR, FILESIZETHRESHOLD, CLOCK]",17.498,0.0,18.667,0.263,1.169,0.063,1.367
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, CLOCK]",55.203,0.0,54.665,0.072,0.538,0.01,0.289
"true","[DEEPCOPY, SNAPSHOTSERIALIZER]",18.083,0.0,18.396,0.297,0.313,0.017,0.098
"true","[JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",24.256,0.0,23.719,0.514,0.537,0.023,0.288
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.424,0.0,9.586,0.128,0.162,0.017,0.026
