measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[JOURNALSERIALIZER, FILESIZETHRESHOLD]",24.151,0,24.644,0.638,23.059,26.23,true,0.493,0.02,0.243
"true","[MONITOR, DISKSYNC]",47.339,0,47.926,0.615,46.398,49.455,true,0.587,0.012,0.345
"true","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, CLOCK]",9.398,0,9.529,0.347,8.668,10.39,true,0.131,0.014,0.017
"true","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, CLOCK]",48.314,0,48.507,0.578,47.071,49.943,true,0.193,0.004,0.037
"true","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",74.211,0,74.253,0.843,72.16,76.347,true,0.042,0.001,0.002
"true","[DISKSYNC, JOURNALSERIALIZER]",54.613,0,55.357,0.689,53.646,57.068,true,0.744,0.013,0.554
"true","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",67.11,0,67.352,0.714,65.578,69.126,true,0.242,0.004,0.059
"true","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",74.605,0,74.737,0.546,73.382,76.092,true,0.132,0.002,0.017
"true","[FILEAGETHRESHOLD, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",23.787,0,24.323,0.194,23.841,24.805,false,0.536,0.022,0.287
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",19.4,0,18.561,0.292,17.836,19.285,false,0.839,0.045,0.704
"true","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",8.52,0,8.549,0.2,8.053,9.044,true,0.029,0.003,0.001
"true","[MONITOR]",13.67,0,14.305,0.573,12.882,15.729,true,0.635,0.044,0.403
"true","[FILEAGETHRESHOLD, TRANSIENTMODE]",6.169,0,5.844,0.165,5.434,6.254,true,0.325,0.056,0.106
"true","[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",6.082,0,6.04,0.372,5.117,6.963,true,0.042,0.007,0.002
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",8.516,0,8.495,0.136,8.158,8.832,true,0.021,0.002,0
"true","[DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",53.101,0,53.222,0.405,52.217,54.228,true,0.121,0.002,0.015
