measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, ENTROPY]",2.021,0.0,0.814,0.006,1.207,1.483,1.457
"false","[FORCE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",59.188,0.0,58.51,0.34,0.678,0.012,0.46
"true","[CHECKSUM, TRANSFORM, ENTROPY]",2.831,0.0,0.297,0.007,2.534,8.532,6.421
"false","[CHECKSUM, BLOCKSIZE, VERBOSE, ENTROPY]",2.07,0.0,0.904,0.028,1.166,1.29,1.36
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",59.725,0.0,57.333,0.817,2.392,0.042,5.722
"true","[FORCE, ENTROPY]",2.721,0.0,0.234,0.01,2.487,10.628,6.185
"false","[FORCE, TRANSFORM, VERBOSE]",2.728,0.0,0.249,0.005,2.479,9.956,6.145
"true","[FORCE, BLOCKSIZE, TRANSFORM]",2.037,0.0,0.727,0.005,1.31,1.802,1.716
"false","[CHECKSUM, TRANSFORM, VERBOSE, ENTROPY]",2.843,0.0,0.33,0.006,2.513,7.615,6.315

MSE: 2.453
RMSE: 1.566
MAPE: 2.228
