measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",19.79,0.0,19.269,0.494,18.042,20.497,true,0.521,0.027,0.271
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.074,0.0,9.528,0.488,8.316,10.74,true,0.546,0.057,0.298
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",12.699,0.0,8.434,0.111,8.159,8.709,false,4.265,0.506,18.19
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",19.692,0.0,18.918,0.395,17.936,19.901,true,0.774,0.041,0.599
"false","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",56.009,0.0,53.436,0.364,52.531,54.341,false,2.573,0.048,6.62
"false","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",20.417,0.0,18.583,0.822,16.541,20.625,true,1.834,0.099,3.364
"true","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER]",69.018,0.0,67.415,0.188,66.948,67.882,false,1.603,0.024,2.57
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",9.668,0.0,9.489,0.471,8.318,10.659,true,0.179,0.019,0.032
"false","[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD]",23.568,0.0,24.156,0.753,22.284,26.027,true,0.588,0.024,0.346
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.323,0.0,9.369,0.436,8.285,10.452,true,0.954,0.102,0.91
"false","[FILEAGETHRESHOLD, MONITOR, CLOCK]",15.198,0.0,14.238,0.373,13.312,15.165,false,0.96,0.067,0.922
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",21.469,0.0,18.656,0.197,18.167,19.146,false,2.813,0.151,7.913
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",10.201,0.0,9.303,0.505,8.048,10.559,true,0.898,0.097,0.806
"false","[DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",63.953,0.0,61.129,0.668,59.469,62.789,false,2.824,0.046,7.975
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",21.588,0.0,18.834,0.69,17.121,20.547,false,2.754,0.146,7.585
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",5.949,0.0,5.936,0.132,5.609,6.264,true,0.013,0.002,0
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",6.164,0.0,5.978,0.409,4.962,6.994,true,0.186,0.031,0.035
"false","[DISKSYNC, SNAPSHOTSERIALIZER]",50.22,0.0,47.29,0.431,46.22,48.36,false,2.93,0.062,8.585
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.904,0.0,9.216,0.361,8.319,10.113,true,0.688,0.075,0.473
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",21.418,0.0,19.007,0.268,18.343,19.672,false,2.411,0.127,5.813
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",21.516,0.0,19.324,0.379,18.383,20.264,false,2.192,0.113,4.805
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.838,0.0,9.341,0.357,8.454,10.227,true,0.497,0.053,0.247
"false","[TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.173,0.0,6.264,0.452,5.142,7.386,true,0.091,0.015,0.008
"false","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",20.181,0.0,18.144,0.249,17.526,18.762,false,2.037,0.112,4.149
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD]",10.088,0.0,9.187,0.439,8.096,10.277,true,0.901,0.098,0.812
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",21.418,0.0,19.032,0.729,17.22,20.843,false,2.386,0.125,5.693
"false","[DEEPCOPY, FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, CLOCK]",22.179,0.0,18.077,0.262,17.426,18.728,false,4.102,0.227,16.826
"false","[MONITOR, FILESIZETHRESHOLD, CLOCK]",19.094,0.0,18.667,0.323,17.866,19.468,true,0.427,0.023,0.182
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, CLOCK]",57.687,0.0,54.665,0.088,54.445,54.884,false,3.022,0.055,9.132
"false","[DEEPCOPY, SNAPSHOTSERIALIZER]",18.961,0.0,18.396,0.364,17.493,19.299,true,0.565,0.031,0.319
"false","[JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",25.701,0.0,23.719,0.629,22.156,25.283,false,1.982,0.084,3.928
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.074,0.0,9.586,0.156,9.198,9.975,false,0.488,0.051,0.238
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",12.757,0.0,8.619,0.103,8.364,8.873,false,4.138,0.48,17.123
"false","[DEEPCOPY, FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",23.569,0.0,24.803,0.543,23.455,26.151,true,1.234,0.05,1.523
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",64.091,0.0,61.595,0.432,60.523,62.667,false,2.496,0.041,6.23
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",10.037,0.0,9.221,0.304,8.467,9.975,false,0.816,0.088,0.666
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",67.46,0.0,67.649,0.266,66.987,68.31,true,0.189,0.003,0.036
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",10.174,0.0,8.607,0.035,8.52,8.693,false,1.567,0.182,2.455
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER]",57.451,0.0,55.016,0.517,53.731,56.301,false,2.435,0.044,5.929
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",12.699,0.0,8.36,0.261,7.712,9.007,false,4.339,0.519,18.827
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",21.347,0.0,18.815,0.341,17.967,19.662,false,2.532,0.135,6.411
"false","[DEEPCOPY, SNAPSHOTSERIALIZER, CLOCK]",21.544,0.0,17.977,0.447,16.866,19.088,false,3.567,0.198,12.723
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",12.915,0.0,9.186,0.262,8.536,9.836,false,3.729,0.406,13.905
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",19.692,0.0,18.712,0.486,17.503,19.92,true,0.98,0.052,0.96
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER]",10.32,0.0,8.606,0.254,7.974,9.238,false,1.714,0.199,2.938
"true","[JOURNALSERIALIZER, FILESIZETHRESHOLD]",25.465,0.0,24.644,0.638,23.059,26.23,true,0.821,0.033,0.674
"false","[MONITOR, DISKSYNC]",50.386,0.0,47.926,0.615,46.398,49.455,false,2.46,0.051,6.052
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, CLOCK]",10.202,0.0,9.529,0.347,8.668,10.39,true,0.673,0.071,0.453
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, CLOCK]",48.65,0.0,48.507,0.578,47.071,49.943,true,0.143,0.003,0.02
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",74.198,0.0,74.253,0.843,72.16,76.347,true,0.055,0.001,0.003
"false","[DISKSYNC, JOURNALSERIALIZER]",57.215,0.0,55.357,0.689,53.646,57.068,false,1.858,0.034,3.452
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",67.696,0.0,67.352,0.714,65.578,69.126,true,0.344,0.005,0.118
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",76.062,0.0,74.737,0.546,73.382,76.092,true,1.325,0.018,1.756
"false","[FILEAGETHRESHOLD, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",25.871,0.0,24.323,0.194,23.841,24.805,false,1.548,0.064,2.396
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",19.493,0.0,18.561,0.292,17.836,19.285,false,0.932,0.05,0.869
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",12.903,0.0,8.549,0.2,8.053,9.044,false,4.354,0.509,18.957
"false","[MONITOR]",14.778,0.0,14.305,0.573,12.882,15.729,true,0.473,0.033,0.224
"false","[FILEAGETHRESHOLD, TRANSIENTMODE]",5.996,0.0,5.844,0.165,5.434,6.254,true,0.152,0.026,0.023
