measured,configuration,performance,std,minci,maxci
true,"[PLATFORM, POSTCONVERTWEBP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS]",8.927,0.041,8.862,8.992
true,"[CREATEMIPMAPINSTEADOFDRAWABLEDIR, SCALE]",7.43,0.084,7.296,7.564
true,"[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, SCALE, CLEARDIRBEFORECONVERT]",10.671,0.024,10.633,10.71
true,"[POSTCONVERTWEBP, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, GUIADVANCEDOPTIONS]",5.062,0.051,4.98,5.144
true,"[CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER]",2.287,0.019,2.256,2.317
true,"[UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, SCALEMODE, ROUNDINGHANDLER]",2.299,0.01,2.284,2.314
true,"[PLATFORM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SKIPUPSCALING, CREATEMIPMAPINSTEADOFDRAWABLEDIR, ENABLEANTIALIASING]",10.07,0.053,9.986,10.154
true,"[SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, SCALEMODE]",2.3,0.006,2.291,2.31
true,"[ENABLEMOZJPEG, GUIADVANCEDOPTIONS, PLATFORM, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",8.377,0.025,8.337,8.417
true,"[PLATFORM, SCALEISHEIGHTDP, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, SCALEMODE]",3.791,0.025,3.751,3.831
