measured,configuration,performance,std,minci,maxci
true,"[POSTCONVERTWEBP, HELP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, DRYRUN, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, ENABLEANTIALIASING, VERSION, SCALEMODE, ROUNDINGHANDLER, SCALE, CLEARDIRBEFORECONVERT]",0.075,0.003,0.071,0.079
true,"[SKIPUPSCALING, CLEARDIRBEFORECONVERT]",3.338,0.01,3.321,3.355
true,"[SKIPEXISTINGFILES, ENABLEMOZJPEG, HALTONERROR, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, VERSION, ROUNDINGHANDLER, CLEARDIRBEFORECONVERT]",0.019,0.002,0.016,0.022
true,"[SKIPEXISTINGFILES, VERBOSELOG, CLEARDIRBEFORECONVERT]",56.544,0.968,55.003,58.084
true,"[OUTPUTCOMPRESSIONGMODE, ENABLEANTIALIASING]",211.435,0.73,210.273,212.596
true,"[PLATFORM, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, DRYRUN, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ROUNDINGHANDLER, HALTONERROR, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",3.809,0.011,3.791,3.826
true,"[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, DRYRUN, VERSION, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",0.02,0.002,0.017,0.024
true,"[PLATFORM, GUIADVANCEDOPTIONS]",109.919,0.965,108.384,111.455
true,"[POSTCONVERTWEBP, HELP, SKIPEXISTINGFILES, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, DRYRUN, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, VERSION, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",0.075,0.004,0.069,0.081
true,"[POSTCONVERTWEBP, HELP, SKIPEXISTINGFILES, ENABLEMOZJPEG, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, DRYRUN, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, VERSION, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.072,0.004,0.066,0.078
true,"[HELP, SKIPEXISTINGFILES, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, SKIPUPSCALING, COMPRESSQUALITY, ENABLEANTIALIASING, VERSION, SCALEMODE, ROUNDINGHANDLER, CLEARDIRBEFORECONVERT]",0.076,0.005,0.068,0.084
true,"[PLATFORM, SKIPEXISTINGFILES, CREATEMIPMAPINSTEADOFDRAWABLEDIR, COMPRESSQUALITY, VERSION, GUIADVANCEDOPTIONS]",0.02,0.002,0.016,0.024
