measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[SCALEISHEIGHTDP, SKIPUPSCALING]",4.33,0.0,4.818,0.016,4.792,4.844,false,1.012,0.21,1.024
"false","[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALEMODE, SCALE]",16.89,0.0,5.25,0.008,5.237,5.263,false,13.14,2.503,172.66
"false","[PLATFORM, SKIPUPSCALING, COMPRESSQUALITY]",55.52,0.0,8.701,0.072,8.587,8.815,false,48.319,5.553,2334.726
"false","[PLATFORM, UPSCALINGALGORITHM, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALEMODE, SCALE]",67.58,0.0,14.696,0.111,14.519,14.872,false,54.384,3.701,2957.619
"false","[PLATFORM, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",108.55,0.0,104.397,0.778,103.16,105.635,false,5.653,0.054,31.956
"false","[PLATFORM, DOWNSCALINGALGORITHM, SCALEMODE]",58.22,0.0,7.262,0.019,7.232,7.293,false,52.458,7.224,2751.842
"false","[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR]",56.79,0.0,57.995,1.021,56.371,59.62,true,0.295,0.005,0.087
"false","[POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, SCALEMODE]",65.82,0.0,3.8,0.014,3.777,3.822,false,63.52,16.716,4034.79
"false","[UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, SCALE]",124.47,0.0,19.384,0.115,19.202,19.566,false,106.586,5.499,11360.575
"false","[PLATFORM, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, ROUNDINGHANDLER, CLEARDIRBEFORECONVERT]",175.05,0.0,25.811,0.056,25.721,25.9,false,150.739,5.84,22722.246
"false","[SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALE]",80.93,0.0,14.038,0.048,13.961,14.115,false,68.392,4.872,4677.466
"false","[SCALEISHEIGHTDP, ENABLEPNGCRUSH, SKIPUPSCALING, DOWNSCALINGALGORITHM, SCALEMODE, HALTONERROR]",0.0,0.0,4.554,0.015,4.531,4.578,false,3.054,0.671,9.327
"false","[UPSCALINGALGORITHM, SKIPUPSCALING, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE, SCALE]",0.0,0.0,4.552,0.027,4.51,4.594,false,3.052,0.67,9.315
"false","[OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALEMODE, GUIADVANCEDOPTIONS]",124.49,0.0,3.796,0.008,3.783,3.808,false,122.194,32.19,14931.374
"false","[SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",125.64,0.0,8.937,0.029,8.891,8.983,false,118.203,13.226,13971.949
"false","[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",116.65,0.0,8.897,0.055,8.809,8.985,false,109.253,12.28,11936.218
"false","[ENABLEMOZJPEG, SCALEMODE, SCALE]",0.0,0.0,5.477,0.07,5.365,5.589,false,3.977,0.726,15.817
"false","[PLATFORM, ENABLEMOZJPEG]",111.77,0.0,111.737,0.227,111.376,112.098,false,1.533,0.014,2.35
"false","[PLATFORM, POSTCONVERTWEBP, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY]",233.58,0.0,354.183,1.894,351.169,357.196,false,119.103,0.336,14185.525
"false","[SCALEISHEIGHTDP, INCLUDEANDROIDLDPITVDPI, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, HALTONERROR, CLEARDIRBEFORECONVERT]",60.76,0.0,62.938,0.324,62.423,63.453,false,0.678,0.011,0.46
"false","[COMPRESSQUALITY, VERBOSELOG, GUIADVANCEDOPTIONS]",53.11,0.0,54.272,0.341,53.729,54.815,true,0.338,0.006,0.114
"false","[DOWNSCALINGALGORITHM, COMPRESSQUALITY]",54.14,0.0,54.131,0.617,53.15,55.113,false,1.509,0.028,2.277
"false","[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SCALEMODE, SCALE]",0.0,0.0,5.513,0.092,5.366,5.659,false,4.013,0.728,16.104
"false","[UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE]",115.63,0.0,5.226,0.017,5.199,5.253,false,111.904,21.413,12522.505
"false","[POSTCONVERTWEBP, UPSCALINGALGORITHM, SKIPUPSCALING, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE]",0.0,0.0,4.554,0.013,4.533,4.575,false,3.054,0.671,9.327
