measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[MERGE, DICTIONARYORDER, CHECK, REVERSE]",28.449,0.0,30.534,3.679,24.68,36.388,true,2.085,0.068,4.347
"false","[VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",103.082,0.0,102.549,1.985,99.391,105.708,true,0.533,0.005,0.284
"true","[MERGE, CHECK, GENERALNUMRICSORT, IGNORECASE]",288.086,0.0,285.437,4.17,278.802,292.073,true,2.649,0.009,7.017
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, IGNORECASE]",13.112,0.0,13.32,0.049,13.242,13.397,false,0.208,0.016,0.043
"false","[VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.527,0.0,1.537,0.007,1.526,1.548,true,0.01,0.007,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MERGE, NUMBERICSORT]",13.34,0.0,13.318,0.203,12.995,13.641,true,0.022,0.002,0
"false","[MONTHSORT, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT]",1.543,0.0,1.531,0.01,1.515,1.547,true,0.012,0.008,0
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",29.304,0.0,29.559,0.999,27.97,31.148,true,0.255,0.009,0.065
"true","[MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",17.56,0.0,17.355,0.2,17.036,17.673,true,0.205,0.012,0.042
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.293,0.0,17.412,0.079,17.287,17.537,true,0.119,0.007,0.014
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",16.984,0.0,17.366,0.275,16.929,17.803,true,0.382,0.022,0.146
"true","[IGNORELEADINGBLANKS, UNIQUE, REVERSE, GENERALNUMRICSORT]",130.935,0.0,130.805,2.111,127.445,134.165,true,0.13,0.001,0.017
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, REVERSE, IGNORECASE]",28.884,0.0,34.842,2.239,31.279,38.404,false,5.958,0.171,35.498
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.399,0.0,17.245,0.392,16.621,17.869,true,0.154,0.009,0.024
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, CHECK, IGNORECASE]",112.662,0.0,112.512,1.211,110.585,114.438,true,0.15,0.001,0.023
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",286.753,0.0,289.052,1.895,286.036,292.067,true,2.299,0.008,5.285
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",287.759,0.0,291.353,3.686,285.488,297.219,true,3.594,0.012,12.917
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK]",13.418,0.0,13.323,0.122,13.129,13.516,true,0.095,0.007,0.009
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",1.538,0.0,1.538,0.015,1.514,1.562,true,0,0,0
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",127.468,0.0,127.103,1.027,125.468,128.738,true,0.365,0.003,0.133
